	words_perf_verbs	words_imperf_verbs	things_concr_k10	abstr_concr_k10	mean
40	рекламный_ADJ	рекламный_ADJ	0.23603445380191998	0.1878755092384536	0.21195498152018677
41	признание_NOUN	признание_NOUN	0.14168530972461665	0.29718190300435354	0.2194336063644851
42	аудитория_NOUN	аудитория_NOUN	0.17838233834601075	0.23345494640979755	0.20591864237790414
43	опубликовать_VERB	опубликовывать_VERB	0.17459202553697883	0.20934735358814455	0.1919696895625617
44	разработка_NOUN	разработка_NOUN	0.15624519463503161	0.29704333586241666	0.22664426524872414
45	бабло_NOUN	бабло_NOUN	0.23954048389744353	0.21808530574662086	0.2288128948220322
46	ключевой_ADJ	ключевой_ADJ	0.12390949259720108	0.221385945121146	0.17264771885917354
47	агентство_NOUN	агентство_NOUN	0.15077987459227607	0.19431279765466178	0.17254633612346892
48	ставка_NOUN	ставка_NOUN	0.16565229544459964	0.20510987127018648	0.18538108335739306
49	практика_NOUN	практика_NOUN	0.12428382866879853	0.2666213823042966	0.19545260548654758
50	акционер_NOUN	акционер_NOUN	0.13873283545272483	0.2440353117250616	0.1913840735888932
51	утверждение_NOUN	утверждение_NOUN	0.11868485420818031	0.3107566200900369	0.2147207371491086
52	информационный_ADJ	информационный_ADJ	0.1628973090031833	0.2272115195167929	0.1950544142599881
53	бюджетный_ADJ	бюджетный_ADJ	0.16090557642852626	0.20411920032523884	0.18251238837688255
54	кавказ_NOUN	кавказ_NOUN	0.18989298544279037	0.19965123123482303	0.1947721083388067
55	успешный_ADJ	успешный_ADJ	0.1188228609680085	0.22482604640194107	0.1718244536849748
56	потратить_VERB	потратить_VERB	0.16079848686036324	0.21382508289167004	0.18731178487601663
57	противоречие_NOUN	противоречие_NOUN	0.13304258122437357	0.44303382630246657	0.28803820376342004
58	актив_NOUN	актив_NOUN	0.16308296214752407	0.26494733687776406	0.21401514951264405
59	платеж_NOUN	платеж_NOUN	0.18885278379045572	0.25504304481514695	0.22194791430280134
60	коммунальный_ADJ	коммунальный_ADJ	0.20609206665542107	0.21787204290724405	0.21198205478133256
61	дивизия_NOUN	дивизия_NOUN	0.2876312309826446	0.25130950590309165	0.2694703684428681
62	зачастую_ADV	зачастую_ADV	0.15407397978945056	0.22943841411326513	0.19175619695135784
63	приложение_NOUN	приложение_NOUN	0.25578498361300833	0.24960208056441302	0.2526935320887107
64	глобальный_ADJ	глобальный_ADJ	0.12963271706683707	0.27406376921802217	0.2018482431424296
65	стандарт_NOUN	стандарт_NOUN	0.15139252993576668	0.2455715284571148	0.19848202919644076
66	эксперимент_NOUN	эксперимент_NOUN	0.17829640099643845	0.2783016560103794	0.2282990285034089
67	список_NOUN	список_NOUN	0.1923933062201339	0.18613536794714308	0.1892643370836385
68	диалог_NOUN	диалог_NOUN	0.15156157801541603	0.3068693130434614	0.2292154455294387
69	инет_NOUN	инет_NOUN	0.24968998408116513	0.19757167632026845	0.22363083020071678
70	отпуск_NOUN	отпуск_NOUN	0.17993572887094128	0.18920696127398037	0.1845713450724608
71	пропаганда_NOUN	пропаганда_NOUN	0.15598326188883266	0.3351041859238567	0.24554372390634469
72	сервер_NOUN	сервер_NOUN	0.3041748096789338	0.2614944524007746	0.2828346310398542
73	продукция_NOUN	продукция_NOUN	0.22247647668619402	0.2276907358896806	0.22508360628793733
74	бесконечно_ADV	бесконечно_ADV	0.16278745314065363	0.22492958745652225	0.19385852029858794
75	кампания_NOUN	кампания_NOUN	0.17142945029379753	0.23433948227531723	0.20288446628455736
76	профессия_NOUN	профессия_NOUN	0.16077615035747175	0.2559984434087771	0.2083872968831244
77	отрасль_NOUN	отрасль_NOUN	0.15032667697499041	0.2840363246066644	0.2171815007908274
78	понимание_NOUN	понимание_NOUN	0.12450212731611485	0.37857898670631346	0.25154055701121414
79	затея_NOUN	затея_NOUN	0.19832085240449843	0.3099946543133247	0.25415775335891155
80	собственник_NOUN	собственник_NOUN	0.13883541999979596	0.24467815101691154	0.19175678550835373
81	денежный_ADJ	денежный_ADJ	0.17418204918410246	0.22094533565094018	0.1975636924175213
